time_ns,clock,v,ve,p_bits,p_dec,pe_bits,pe_dec,b,error,reset,start,ready,state_bits,state,next_state_bits,next,count
7100,1,0,1,00100,4,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,4
7150,0,0,1,00100,4,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,4
7200,1,0,1,00101,5,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,5
7250,0,0,1,00101,5,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,5
7300,1,0,1,00110,6,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,6
7350,0,0,1,00110,6,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,6
7400,1,0,1,00111,7,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,7
7450,0,0,1,00111,7,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,7
7500,1,0,1,01000,8,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,8
7550,0,0,1,01000,8,01001,9,1@9,0,0,0,0,10,CHECK,10,CHECK,8
7600,1,1,1,01001,9,01001,9,1@9,0,0,0,0,10,CHECK,01,IDLE,9
7650,0,1,1,01001,9,01001,9,1@9,0,0,0,0,10,CHECK,01,IDLE,9
7700,1,1,1,01001,9,01001,9,1@9,0,0,0,1,01,IDLE,01,IDLE,9
7750,0,1,1,01001,9,01010,10,1@10,0,0,1,1,01,IDLE,10,CHECK,9
7800,1,0,1,00000,0,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,0
7850,0,0,1,00000,0,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,0
7900,1,0,1,00001,1,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,1
7950,0,0,1,00001,1,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,1
8000,1,0,1,00010,2,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,2
8050,0,0,1,00010,2,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,2
8100,1,0,1,00011,3,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,3
8150,0,0,1,00011,3,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,3
8200,1,0,1,00100,4,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,4
8250,0,0,1,00100,4,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,4
8300,1,0,1,00101,5,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,5
8350,0,0,1,00101,5,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,5
8400,1,0,1,00110,6,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,6
8450,0,0,1,00110,6,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,6
8500,1,0,1,00111,7,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,7
8550,0,0,1,00111,7,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,7
8600,1,0,1,01000,8,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,8
8650,0,0,1,01000,8,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,8
8700,1,0,1,01001,9,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,9
8750,0,0,1,01001,9,01010,10,1@10,0,0,1,0,10,CHECK,10,CHECK,9
8800,1,1,1,01010,10,01010,10,1@10,0,0,1,0,10,CHECK,01,IDLE,10
8850,0,1,1,01010,10,01010,10,1@10,0,0,1,0,10,CHECK,01,IDLE,10
8900,1,1,1,01010,10,01010,10,1@10,0,0,0,1,01,IDLE,01,IDLE,10
8950,0,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9000,1,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9050,0,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9100,1,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9150,0,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9200,1,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9250,0,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9300,1,1,1,01010,10,01011,11,1@11,0,0,0,1,01,IDLE,01,IDLE,10
9350,0,1,1,01010,10,01011,11,1@11,0,0,1,1,01,IDLE,10,CHECK,10
9400,1,0,1,00000,0,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,0
9450,0,0,1,00000,0,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,0
9500,1,0,1,00001,1,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,1
9550,0,0,1,00001,1,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,1
9600,1,0,1,00010,2,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,2
9650,0,0,1,00010,2,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,2
9700,1,0,1,00011,3,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,3
9750,0,0,1,00011,3,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,3
9800,1,0,1,00100,4,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,4
9850,0,0,1,00100,4,01011,11,1@11,0,0,1,0,10,CHECK,10,CHECK,4
